pose_id,pose_name,category,mode,view,canvas,yaw,pitch,bbox_x,bbox_y,bbox_w,bbox_h,clipped,occupation_pct,silhouette_pct,margin_top,margin_bottom,margin_left,margin_right
power-stance,"Power Stance",standing,avatar,0/0,160x180,0,0,32.3,15.9,91.8,140.1,0,44.7,16.2,15.9,24.0,32.3,35.9
power-stance,"Power Stance",standing,avatar,90/0,160x180,90,0,57.1,15.9,57.7,140.1,0,28.1,10.4,15.9,24.0,57.1,45.2
power-stance,"Power Stance",standing,avatar,45/0,160x180,45,0,41.7,15.9,79.1,140.1,0,38.5,14.1,15.9,24.0,41.7,39.2
power-stance,"Power Stance",standing,skeleton,0/0,160x180,0,0,32.3,15.9,91.8,140.1,0,44.7,48.3,15.9,24.0,32.3,35.9
power-stance,"Power Stance",standing,skeleton,90/0,160x180,90,0,57.1,15.9,57.7,140.1,0,28.1,47.1,15.9,24.0,57.1,45.2
power-stance,"Power Stance",standing,skeleton,45/0,160x180,45,0,41.7,15.9,79.1,140.1,0,38.5,47.7,15.9,24.0,41.7,39.2
power-stance,"Power Stance",standing,ghost,0/0,160x180,0,0,32.3,15.9,91.8,140.1,0,44.7,36.4,15.9,24.0,32.3,35.9
power-stance,"Power Stance",standing,ghost,90/0,160x180,90,0,57.1,15.9,57.7,140.1,0,28.1,36.5,15.9,24.0,57.1,45.2
power-stance,"Power Stance",standing,ghost,45/0,160x180,45,0,41.7,15.9,79.1,140.1,0,38.5,36.5,15.9,24.0,41.7,39.2
scurve-stand,"S-Curve Stand",standing,avatar,0/0,160x180,0,0,18.3,20.2,108.3,137.0,0,51.5,16.7,20.2,22.8,18.3,33.4
scurve-stand,"S-Curve Stand",standing,avatar,90/0,160x180,90,0,64.2,20.2,63.8,137.0,0,30.4,10.6,20.2,22.8,64.2,32.0
scurve-stand,"S-Curve Stand",standing,avatar,45/0,160x180,45,0,42.9,20.2,97.4,137.0,0,46.3,15.0,20.2,22.8,42.9,19.6
scurve-stand,"S-Curve Stand",standing,skeleton,0/0,160x180,0,0,18.3,20.2,108.3,137.0,0,51.5,48.3,20.2,22.8,18.3,33.4
scurve-stand,"S-Curve Stand",standing,skeleton,90/0,160x180,90,0,64.2,20.2,63.8,137.0,0,30.4,47.1,20.2,22.8,64.2,32.0
scurve-stand,"S-Curve Stand",standing,skeleton,45/0,160x180,45,0,42.9,20.2,97.4,137.0,0,46.3,47.7,20.2,22.8,42.9,19.6
scurve-stand,"S-Curve Stand",standing,ghost,0/0,160x180,0,0,18.3,20.2,108.3,137.0,0,51.5,37.5,20.2,22.8,18.3,33.4
scurve-stand,"S-Curve Stand",standing,ghost,90/0,160x180,90,0,64.2,20.2,63.8,137.0,0,30.4,36.5,20.2,22.8,64.2,32.0
scurve-stand,"S-Curve Stand",standing,ghost,45/0,160x180,45,0,42.9,20.2,97.4,137.0,0,46.3,36.6,20.2,22.8,42.9,19.6
fashion-power-stance-classic,"Classic Power Stance",fashion,avatar,0/0,160x180,0,0,22.3,0.3,120.0,159.8,0,66.6,12.9,0.3,20.0,22.3,17.7
fashion-power-stance-classic,"Classic Power Stance",fashion,avatar,90/0,160x180,90,0,61.8,0.3,54.1,159.8,0,30.0,8.1,0.3,20.0,61.8,44.1
