pose_id,mode,view,before_occ_pct,after_occ_pct,before_sil_pct,after_sil_pct,before_clipped,after_clipped
power-stance,avatar,front,44.7,44.7,15.4,16.2,0,0
power-stance,avatar,side,28.1,28.1,10.3,10.4,0,0
power-stance,avatar,quarter,38.5,38.5,13.8,14.1,0,0
power-stance,skeleton,front,44.7,44.7,37.3,48.3,0,0
power-stance,skeleton,side,28.1,28.1,36.3,47.1,0,0
power-stance,skeleton,quarter,38.5,38.5,36.8,47.7,0,0
power-stance,ghost,front,44.7,44.7,23.2,36.4,0,0
power-stance,ghost,side,28.1,28.1,21.6,36.5,0,0
power-stance,ghost,quarter,38.5,38.5,22.2,36.5,0,0
scurve-stand,avatar,front,51.5,51.5,14.9,16.7,0,0
scurve-stand,avatar,side,30.4,30.4,10.6,10.6,0,0
scurve-stand,avatar,quarter,46.3,46.3,13.8,15.0,0,0
scurve-stand,skeleton,front,51.5,51.5,37.3,48.3,0,0
scurve-stand,skeleton,side,30.4,30.4,36.3,47.1,0,0
scurve-stand,skeleton,quarter,46.3,46.3,36.8,47.7,0,0
scurve-stand,ghost,front,51.5,51.5,23.1,37.5,0,0
scurve-stand,ghost,side,30.4,30.4,21.5,36.5,0,0
scurve-stand,ghost,quarter,46.3,46.3,22.2,36.6,0,0
fashion-power-stance-classic,avatar,front,66.6,66.6,15.7,12.9,0,0
fashion-power-stance-classic,avatar,side,30.0,30.0,10.1,8.1,0,0
fashion-power-stance-classic,avatar,quarter,52.6,52.6,13.5,11.0,0,0
fashion-power-stance-classic,skeleton,front,66.6,66.6,37.3,48.3,0,0
fashion-power-stance-classic,skeleton,side,30.0,30.0,36.3,47.1,0,0
fashion-power-stance-classic,skeleton,quarter,52.6,52.6,36.8,47.7,0,0
fashion-power-stance-classic,ghost,front,66.6,66.6,24.5,35.3,0,0
fashion-power-stance-classic,ghost,side,30.0,30.0,21.8,34.1,0,0
fashion-power-stance-classic,ghost,quarter,52.6,52.6,23.5,35.0,0,0
crossed-arms-stand,avatar,front,46.6,46.6,15.4,15.7,0,0
crossed-arms-stand,avatar,side,28.3,28.3,10.6,10.4,0,0
crossed-arms-stand,avatar,quarter,41.3,41.3,14.5,14.3,0,0
crossed-arms-stand,skeleton,front,46.6,46.6,37.3,48.3,0,0
crossed-arms-stand,skeleton,side,28.3,28.3,36.3,47.1,0,0
crossed-arms-stand,skeleton,quarter,41.3,41.3,36.8,47.7,0,0
crossed-arms-stand,ghost,front,46.6,46.6,23.7,36.2,0,0
crossed-arms-stand,ghost,side,28.3,28.3,21.7,36.5,0,0
crossed-arms-stand,ghost,quarter,41.3,41.3,22.8,36.4,0,0
soft-sit,avatar,front,32.7,32.7,13.5,21.8,0,0
soft-sit,avatar,side,18.1,18.1,9.4,22.8,0,0
soft-sit,avatar,quarter,26.9,26.9,12.8,29.0,0,0
soft-sit,skeleton,front,32.7,32.7,37.3,48.3,0,0
soft-sit,skeleton,side,18.1,18.1,36.3,47.1,0,0
soft-sit,skeleton,quarter,26.9,26.9,36.8,47.7,0,0
soft-sit,ghost,front,32.7,32.7,21.4,32.9,0,0
soft-sit,ghost,side,18.1,18.1,20.1,44.6,0,0
soft-sit,ghost,quarter,26.9,26.9,20.7,37.0,0,0
window-seat,avatar,front,26.6,26.6,13.3,31.6,0,0
window-seat,avatar,side,19.9,19.9,9.3,21.5,0,0
window-seat,avatar,quarter,26.8,26.8,11.8,26.4,0,0
window-seat,skeleton,front,26.6,26.6,37.3,48.3,0,0
window-seat,skeleton,side,19.9,19.9,36.3,47.1,0,0
window-seat,skeleton,quarter,26.8,26.8,36.8,47.7,0,0
window-seat,ghost,front,26.6,26.6,21.3,39.8,0,0
window-seat,ghost,side,19.9,19.9,19.9,43.8,0,0
window-seat,ghost,quarter,26.8,26.8,20.8,38.1,0,0
forearms-crossed-table,avatar,front,33.4,33.4,14.1,23.4,0,0
forearms-crossed-table,avatar,side,23.4,23.4,10.8,22.5,0,0
forearms-crossed-table,avatar,quarter,30.7,30.7,13.8,26.8,0,0
forearms-crossed-table,skeleton,front,33.4,33.4,37.3,48.3,0,0
forearms-crossed-table,skeleton,side,23.4,23.4,36.3,47.1,0,0
forearms-crossed-table,skeleton,quarter,30.7,30.7,36.8,47.7,0,0
forearms-crossed-table,ghost,front,33.4,33.4,22.5,33.7,0,0
forearms-crossed-table,ghost,side,23.4,23.4,20.4,43.0,0,0
forearms-crossed-table,ghost,quarter,30.7,30.7,21.3,35.7,0,0
both-knees,avatar,front,39.5,39.5,15.9,16.4,0,0
both-knees,avatar,side,29.6,29.6,12.8,12.0,0,0
both-knees,avatar,quarter,35.9,35.9,15.6,15.5,0,0
both-knees,skeleton,front,39.5,39.5,39.0,50.5,0,0
both-knees,skeleton,side,29.6,29.6,37.2,48.3,0,0
both-knees,skeleton,quarter,35.9,35.9,38.4,49.8,0,0
both-knees,ghost,front,39.5,39.5,24.1,35.6,0,0
both-knees,ghost,side,29.6,29.6,22.6,35.8,0,0
both-knees,ghost,quarter,35.9,35.9,23.5,35.6,0,0
knights-kneel,avatar,front,32.1,32.1,16.1,26.8,0,0
knights-kneel,avatar,side,27.4,27.4,11.6,16.3,0,0
knights-kneel,avatar,quarter,30.3,30.3,15.6,25.0,0,0
knights-kneel,skeleton,front,32.1,32.1,37.3,48.3,0,0
knights-kneel,skeleton,side,27.4,27.4,36.3,47.1,0,0
knights-kneel,skeleton,quarter,30.3,30.3,36.8,47.7,0,0
knights-kneel,ghost,front,32.1,32.1,22.7,39.2,0,0
knights-kneel,ghost,side,27.4,27.4,20.2,40.7,0,0
knights-kneel,ghost,quarter,30.3,30.3,21.5,40.1,0,0
starfish,avatar,front,37.8,37.8,38.3,35.2,0,0
starfish,avatar,side,35.8,35.8,37.4,33.1,0,0
starfish,avatar,quarter,34.6,34.6,37.8,34.9,0,0
starfish,skeleton,front,37.8,37.8,39.0,50.5,0,0
starfish,skeleton,side,35.8,35.8,37.2,48.3,0,0
starfish,skeleton,quarter,34.6,34.6,38.4,49.8,0,0
starfish,ghost,front,37.8,37.8,45.6,31.2,0,0
